ICDO3.2	Level	Term
8265/3	Preferred	Micropapillary carcinoma, NOS
8265/3	Related	Micropapillary adenocarcinoma
8270/0	Preferred	Chromophobe adenoma
8270/3	Preferred	Chromophobe carcinoma
8270/3	Synonym	Chromophobe adenocarcinoma
8271/0	Preferred	Lactotroph adenoma
8271/0	Synonym	Prolactinoma
8272/0	Preferred	Pituitary adenoma, NOS
8272/0	Related	Corticotroph adenoma
8272/0	Related	Null cell adenoma
8272/0	Related	Plurihormonal adenoma
8272/0	Related	Gonodotroph adenoma
8272/0	Related	Somatotroph adenoma
8272/0	Related	Thyrotroph adenoma
8272/0	Related	Pituitary adenoma, ectopic
8272/3	Preferred	Pituitary carcinoma, NOS
8273/3	Preferred	Pituitary blastoma
8280/0	Preferred	Acidophil adenoma
8280/0	Synonym	Eosinophil adenoma
8280/3	Preferred	Acidophil carcinoma
8280/3	Synonym	Acidophil adenocarcinoma
8280/3	Synonym	Eosinophil adenocarcinoma
8280/3	Synonym	Eosinophil carcinoma
8281/0	Preferred	Mixed acidophil-basophil adenoma
8281/3	Preferred	Mixed acidophil-basophil carcinoma
8290/0	Preferred	Oxyphilic adenoma
8290/0	Synonym	Oncocytic adenoma
8290/0	Synonym	Oncocytoma
8290/0	Related	Follicular adenoma, oxyphilic cell
8290/0	Related	Hurthle cell adenoma
8290/0	Related	Hurthle cell tumor
8290/0	Related	Spindle cell oncocytoma
8290/0	Related	Oncocytic papillary cystadenoma
8290/3	Preferred	Oxyphilic adenocarcinoma
8290/3	Synonym	Oncocytic adenocarcinoma
8290/3	Synonym	Oncocytic carcinoma
8290/3	Related	Hurthle cell carcinoma
8290/3	Related	Hurthle cell adenocarcinoma
8290/3	Related	Follicular carcinoma, oxyphilic cell
8300/0	Preferred	Basophil adenoma
8300/0	Synonym	Mucoid cell adenoma
8300/3	Preferred	Basophil carcinoma
8300/3	Synonym	Basophil adenocarcinoma
8300/3	Synonym	Mucoid cell adenocarcinoma
8310/0	Preferred	Clear cell adenoma
8310/3	Preferred	Clear cell adenocarcinoma, NOS
8310/3	Synonym	Clear cell carcinoma, NOS
8310/3	Related	Clear cell adenocarcinoma, mesonephroid
8310/3	Related	Clear cell renal cell carcinoma, NOS
8311/1	Preferred	Hypernephroid tumor
8311/3	Preferred	Hereditary leiomyomatosis and renal cell carcinoma (HLRCC) syndrome-associated renal cell carcinoma
8311/3	Related	MiT family translocation carcinoma
8311/3	Related	Succinate dehydrogenase deficient renal cell carcinoma
8312/3	Preferred	Renal cell carcinoma, NOS
8312/3	Synonym	Renal cell adenocarcinoma
8312/3	Related	Renal cell carcinoma, unclassified
8312/3	Synonym	Grawitz tumor
8312/3	Synonym	Hypernephroma
8313/0	Preferred	Clear cell adenofibroma
8313/0	Synonym	Clear cell cystadenofibroma
8313/1	Preferred	Clear cell borderline tumor
8313/1	Synonym	Clear cell tumor, atypical proliferative
8313/1	Synonym	Clear cell cystic tumor of borderline malignancy
8313/1	Related	Clear cell adenofibroma of borderline malignancy
8313/1	Synonym	Clear cell cystadenofibroma of borderline malignancy
8313/3	Preferred	Clear cell adenocarcinofibroma
8313/3	Synonym	Clear cell cystadenocarcinofibroma
8314/3	Preferred	Lipid-rich carcinoma
8315/3	Preferred	Glycogen-rich carcinoma
8315/3	Synonym	Glycogen-rich clear cell carcinoma
8316/1	Preferred	Multilocular cystic renal neoplasm of low malignant potential 
8316/3	Preferred	Cyst-associated renal cell carcinoma
8316/3	Related	Acquired cystic disease-associated renal cell carcinoma
8316/3	Related	Tubulocystic renal cell carcinoma
8317/3	Preferred	Renal cell carcinoma, chromophobe type
8317/3	Synonym	Chromophobe cell renal carcinoma
8317/3	Related	Hybrid oncocytic chromophobe tumor
8318/3	Preferred	Renal cell carcinoma, sarcomatoid
8318/3	Synonym	Renal cell carcinoma, spindle cell
8319/3	Preferred	Collecting duct carcinoma
8319/3	Synonym	Bellini duct carcinoma
8319/3	Synonym	Renal carcinoma, collecting duct type
8320/3	Preferred	Granular cell carcinoma
8320/3	Synonym	Granular cell adenocarcinoma
8321/0	Preferred	Chief cell adenoma
8322/0	Preferred	Water-clear cell adenoma
8322/3	Preferred	Water-clear cell adenocarcinoma
8322/3	Synonym	Water-clear cell carcinoma
8323/0	Preferred	Mixed cell adenoma
8323/1	Preferred	Clear cell papillary renal cell carcinoma
8323/3	Preferred	Mixed cell adenocarcinoma
8324/0	Preferred	Lipoadenoma
8324/0	Synonym	Adenolipoma
8325/0	Preferred	Metanephric adenoma
8330/0	Preferred	Follicular adenoma, NOS
8330/1	Preferred	Atypical follicular adenoma
8330/3	Preferred	Follicular carcinoma, NOS
8330/3	Synonym	Follicular adenocarcinoma, NOS
8331/3	Preferred	Follicular adenocarcinoma, well differentiated
8331/3	Synonym	Follicular carcinoma, well differentiated
8332/3	Preferred	Follicular adenocarcinoma, trabecular
8332/3	Synonym	Follicular carcinoma, trabecular
8332/3	Related	Follicular adenocarcinoma, moderately differentiated
8332/3	Synonym	Follicular carcinoma, moderately differentiated
8333/0	Preferred	Microfollicular adenoma, NOS
8333/0	Synonym	Fetal adenoma
8333/3	Preferred	Fetal adenocarcinoma
8334/0	Preferred	Macrofollicular adenoma
8334/0	Synonym	Colloid adenoma
8335/1	Preferred	Follicular tumor of uncertain malignant potential
8335/1	Synonym	Follicular carcinoma, encapsulated, NOS
8335/3	Preferred	Follicular carcinoma, minimally invasive
8336/1	Preferred	Hyalinizing trabecular tumor
8336/1	Synonym	Hyalinizing trabecular adenoma
8337/3	Preferred	Poorly differentiated thyroid carcinoma
8337/3	Synonym	Insular carcinoma
8339/3	Preferred	Follicular carcinoma, encapsulated, angioinvasive
8340/3	Preferred	Papillary carcinoma, follicular variant
8340/3	Synonym	Papillary adenocarcinoma, follicular variant
8340/3	Related	Papillary and follicular adenocarcinoma
8340/3	Related	Papillary and follicular carcinoma
8341/3	Preferred	Papillary microcarcinoma
8342/3	Preferred	Papillary carcinoma, oncocytic variant
8342/3	Synonym	Papillary carcinoma, oxyphilic cell
8343/3	Preferred	Papillary carcinoma, encapsulated, of thyroid
8344/3	Preferred	Papillary carcinoma, columnar cell
8344/3	Synonym	Papillary carcinoma, tall cell
8345/3	Preferred	Medullary thyroid carcinoma
8345/3	Synonym	C cell carcinoma
8345/3	Synonym	Parafollicular cell carcinoma
8345/3	Related	Medullary carcinoma with amyloid stroma
8346/3	Preferred	Mixed medullary-follicular carcinoma
8347/3	Preferred	Mixed medullary-papillary carcinoma
8348/1	Preferred	Well differentiated tumor of uncertain malignant potential
8349/1	Preferred	Non-invasive follicular thyroid neoplasm with papillary-like nuclear features (NIFTP)
8350/3	Preferred	Nonencapsulated sclerosing carcinoma
8350/3	Synonym	Nonencapsulated sclerosing adenocarcinoma
8350/3	Synonym	Nonencapsulated sclerosing tumor
8350/3	Related	Papillary carcinoma, diffuse sclerosing
8360/1	Preferred	Multiple endocrine adenomas
8360/1	Synonym	Endocrine adenomatosis
8361/0	Preferred	Juxtaglomerular tumor
8361/0	Synonym	Juxtaglomerular cell tumor
8361/0	Synonym	Reninoma
8370/0	Preferred	Adrenal cortical adenoma, NOS
8370/0	Synonym	Adrenal cortical tumor, NOS
8370/0	Synonym	Adrenal cortical tumor, benign
8370/3	Preferred	Adrenal cortical carcinoma
8370/3	Synonym	Adrenal cortical adenocarcinoma
8370/3	Synonym	Adrenal cortical tumor, malignant
8371/0	Preferred	Adrenal cortical adenoma, compact cell
8372/0	Preferred	Adrenal cortical adenoma, pigmented
8372/0	Synonym	Black adenoma
8372/0	Synonym	Pigmented adenoma
8373/0	Preferred	Adrenal cortical adenoma, clear cell
8374/0	Preferred	Adrenal cortical adenoma, glomerulosa cell
8375/0	Preferred	Adrenal cortical adenoma, mixed cell
8380/0	Preferred	Endometrioid adenoma, NOS
8380/0	Synonym	Endometrioid cystadenoma, NOS
8380/1	Preferred	Endometrioid adenoma, borderline malignancy
8380/1	Synonym	Endometrioid tumor, borderline
8380/1	Synonym	Atypical proliferative endometrioid tumor
8380/1	Synonym	Endometrioid cystadenoma, borderline malignancy
8380/1	Synonym	Endometrioid tumor of low malignant potential
8380/2	Preferred	Endometrioid intraepithelial neoplasia
8380/2	Synonym	Atypical hyperplasia of endometrium
8380/3	Preferred	Endometrioid adenocarcinoma, NOS
8380/3	Synonym	Endometrioid carcinoma, NOS
8380/3	Related	Endometrioid cystadenocarcinoma
8381/0	Preferred	Endometrioid adenofibroma, NOS
8381/0	Synonym	Endometrioid cystadenofibroma, NOS
8381/1	Preferred	Endometrioid adenofibroma, borderline malignancy
8381/1	Synonym	Endometrioid cystadenofibroma, borderline malignancy
8381/3	Preferred	Endometrioid adenofibroma, malignant
8381/3	Synonym	Endometrioid cystadenofibroma, malignant
8382/3	Preferred	Endometrioid adenocarcinoma, secretory variant
8383/3	Preferred	Endometrioid adenocarcinoma, ciliated cell variant
8384/3	Preferred	Adenocarcinoma, endocervical type, NOS
839-842	2	Adnexal and skin appendage neoplasms
8390/0	Preferred	Skin appendage adenoma
8390/0	Synonym	Adnexal tumor, benign
8390/0	Synonym	Skin appendage tumor, benign
8390/3	Preferred	Adnexal adenocarcinoma, NOS
8390/3	Synonym	Skin appendage carcinoma
8390/3	Synonym	Adnexal carcinoma
8391/0	Preferred	Follicular fibroma
8391/0	Synonym	Fibrofolliculoma
8391/0	Synonym	Perifollicular fibroma
8391/0	Synonym	Trichodiscoma
8391/0	Related	Spindle cell predominant trichodiscoma
8392/0	Preferred	Syringofibroadenoma
8400/0	Preferred	Sweat gland adenoma
8400/0	Synonym	Syringadenoma, NOS
8400/0	Synonym	Sweat gland tumor, benign
8400/1	Preferred	Sweat gland tumor, NOS
8400/3	Preferred	Sweat gland adenocarcinoma
8400/3	Synonym	Sweat gland carcinoma
8400/3	Synonym	Sweat gland tumor, malignant
8401/0	Preferred	Apocrine adenoma
8401/0	Synonym	Apocrine cystadenoma
8401/3	Preferred	Apocrine adenocarcinoma
8401/3	Synonym	Apocrine carcinoma
8402/0	Preferred	Hidradenoma, NOS
8402/0	Synonym	Nodular hidradenoma
8402/0	Related	Clear cell hidradenoma
8402/0	Related	Eccrine acrospiroma
8402/3	Preferred	Hidradenocarcinoma
8402/3	Synonym	Nodular hidradenoma, malignant
8403/0	Preferred	Spiradenoma, NOS
8403/0	Synonym	Eccrine spiradenoma
8403/3	Preferred	Malignant eccrine spiradenoma
8403/3	Related	Malignant neoplasm arising from pre-existing spiradenoma
8403/3	Related	Malignant neoplasm arising from pre-existing cylindroma
8403/3	Related	Malignant neoplasm arising from pre-existing spiradenocylindroma
8404/0	Preferred	Hidrocystoma
8404/0	Synonym	Hidrocystadenoma
8404/0	Synonym	Eccrine cystadenoma
8405/0	Preferred	Papillary hidradenoma
8405/0	Synonym	Hidradenoma papilliferum
8406/0	Preferred	Syringocystadenoma papilliferum
8406/0	Synonym	Papillary syringadenoma
8406/0	Synonym	Papillary syringocystadenoma
8406/0	Related	Sialadenoma papilliferum
8406/3	Preferred	Syringocystadenocarcinoma papilliferum
8407/0	Preferred	Syringoma, NOS
8407/0	Related	Syringomatous tumor of nipple
8407/0	Synonym	Syringomatous adenoma of nipple
8407/0	Synonym	Infiltrating syringomatous adenoma of nipple
8407/3	Preferred	Microcystic adnexal carcinoma
8407/3	Synonym	Sclerosing sweat duct carcinoma
8407/3	Synonym	Syringomatous carcinoma
8408/0	Preferred	Eccrine papillary adenoma
8408/3	Preferred	Digital papillary adenocarcinoma
8408/3	Synonym	Aggressive digital papillary adenoma
8408/3	Synonym	Eccrine papillary adenocarcinoma
8409/0	Preferred	Poroma, NOS
8409/0	Related	Eccrine poroma, NOS
8409/0	Related	Apocrine poroma
8409/2	Preferred	Porocarcinoma in situ
8409/3	Preferred	Porocarcinoma, NOS
8409/3	Synonym	Eccrine poroma, malignant
8410/0	Preferred	Sebaceoma
8410/0	Related	Sebaceous adenoma
8410/0	Related	Sebaceous epithelioma
8410/3	Preferred	Sebaceous carcinoma
8410/3	Synonym	Sebaceous adenocarcinoma
8413/3	Preferred	Eccrine adenocarcinoma
8420/0	Preferred	Ceruminous adenoma
8420/3	Preferred	Ceruminous adenocarcinoma
8420/3	Synonym	Ceruminous carcinoma
843	2	Mucoepidermoid neoplasms
8430/1	Preferred	Mucoepidermoid tumor
8430/3	Preferred	Mucoepidermoid carcinoma
844-849	2	Cystic, mucinous and serous neoplasms
8440/0	Preferred	Cystadenoma, NOS
8440/0	Synonym	Cystoma, NOS
8440/3	Preferred	Cystadenocarcinoma, NOS
8441/0	Preferred	Serous cystadenoma, NOS
8441/0	Synonym	Serous cystoma
8441/0	Related	Serous microcystic adenoma
8441/0	Synonym	Papillary serous cystadenoma, NOS
8441/2	Preferred	Serous intraepithelial carcinoma
8441/2	Related	Serous tubal intraepithelial carcinoma (STIC)
8441/2	Related	Serous endometrial intraepithelial carcinoma
8441/3	Preferred	Serous carcinoma, NOS
8441/3	Synonym	Serous cystadenocarcinoma, NOS
8441/3	Synonym	Serous adenocarcinoma, NOS
8441/3	Synonym	Serous papillary adenocarcinoma, NOS
8441/3	Synonym	Papillary serous cystadenocarcinoma
8441/3	Synonym	Papillary serous adenocarcinoma
8441/3	Synonym	Serous surface papillary carcinoma
8442/1	Preferred	Serous borderline tumor, NOS
8442/1	Synonym	Serous tumor, atypical proliferative
8442/1	Synonym	Serous cystadenoma, borderline malignancy
8442/1	Synonym	Serous tumor, NOS, of low malignant potential
8442/1	Synonym	Serous papillary cystic tumor of borderline malignancy
8442/1	Synonym	Atypical proliferative papillary serous tumor
8442/1	Synonym	Papillary serous cystadenoma, borderline malignancy
8442/1	Synonym	Papillary serous tumor of low malignant potential
8442/1	Synonym	Serous surface papillary tumor of borderline malignancy
8443/0	Preferred	Clear cell cystadenoma
8450/0	Preferred	Papillary cystadenoma, NOS
8450/0	Related	Papillary cystadenofibroma
8450/3	Preferred	Papillary cystadenocarcinoma, NOS
8450/3	Synonym	Papillocystic adenocarcinoma
8451/1	Preferred	Papillary cystadenoma, borderline malignancy
8452/1	Preferred	Solid pseudopapillary tumor of ovary
8452/1	Synonym	Papillary cystic tumor
8452/1	Synonym	Solid and cystic tumor
8452/1	Synonym	Solid and papillary epithelial neoplasm
8452/3	Preferred	Solid pseudopapillary neoplasm of pancreas
8452/3	Related	Solid pseudopapillary carcinoma
8453/0	Preferred	Intraductal papillary mucinous adenoma
8453/0	Related	Intraductal papillary mucinous tumor with intermediate dysplasia
8453/0	Related	Intraductal papillary mucinous tumor with low grade dysplasia
8453/0	Synonym	Intraductal papillary mucinous neoplasm with low grade dysplasia
8453/0	Related	Intraductal papillary mucinous tumor with moderate dysplasia
8453/0	Synonym	Intraductal papillary mucinous neoplasm with moderate dysplasia
8453/2	Preferred	Intraductal papillary mucinous neoplasm with high grade dysplasia
8453/2	Related	Intraductal papillary mucinous carcinoma, non-invasive
8453/3	Preferred	Intraductal papillary mucinous neoplasm with an associated invasive carcinoma
8453/3	Related	Intraductal papillary mucinous carcinoma, invasive
8454/0	Preferred	Cystic tumor of atrio-ventricular node
8460/2	Preferred	Serous borderline tumor, micropapillary variant
8460/2	Synonym	Serous carcinoma, non-invasive, low grade
8460/3	Preferred	Low grade serous carcinoma
8460/3	Related	Micropapillary serous carcinoma
8461/0	Preferred	Serous surface papilloma
8461/3	Preferred	High grade serous carcinoma
8470/0	Preferred	Mucinous cystadenoma, NOS
8470/0	Synonym	Papillary mucinous cystadenoma, NOS
8470/0	Synonym	Papillary pseudomucinous cystadenoma, NOS
8470/0	Synonym	Pseudomucinous cystadenoma, NOS
8470/0	Synonym	Mucinous cystoma
8470/0	Related	Mucinous cystic neoplasm with intermediate grade dysplasia
8470/0	Related	Mucinous cystic neoplasm with intermediate grade intraepithelial neoplasia
8470/0	Related	Mucinous cystic neoplasm with low grade dysplasia
8470/0	Related	Mucinous cystic neoplasm with low grade intraepithelial neoplasia
8470/0	Related	Mucinous cystic tumor with intermediate dysplasia
8470/0	Related	Mucinous cystic tumor with low grade dysplasia
8470/0	Related	Mucinous cystic tumor with moderate dysplasia
8470/2	Preferred	Mucinous cystic neoplasm with high grade dysplasia
8470/2	Related	Mucinous cystadenocarcinoma, non-invasive
8470/2	Related	Mucinous cystic tumor with high grade dysplasia
8470/2	Synonym	Mucinous cystic neoplasm with high grade intraepithelial neoplasia
8470/3	Preferred	Mucinous cystadenocarcinoma, NOS
8470/3	Synonym	Pseudomucinous cystadenocarcinoma, NOS
8470/3	Synonym	Pseudomucinous adenocarcinoma
8470/3	Related	Mucinous cystic tumor with an associated invasive carcinoma
8470/3	Synonym	Mucinous cystic neoplasm with an associated invasive carcinoma
8470/3	Synonym	Papillary mucinous cystadenocarcinoma
8470/3	Synonym	Papillary pseudomucinous cystadenocarcinoma
8472/1	Preferred	Mucinous cystic tumor of borderline malignancy
8472/1	Synonym	Mucinous borderline tumor
8472/1	Synonym	Mucinous tumor, NOS, of low malignant potential
8472/1	Synonym	Atypical proliferative mucinous tumor
8472/1	Synonym	Mucinous cystadenoma, borderline malignancy
8472/1	Synonym	Pseudomucinous cystadenoma, borderline malignancy
8472/1	Synonym	Papillary mucinous cystadenoma, borderline malignancy
8472/1	Synonym	Papillary pseudomucinous cystadenoma, borderline malignancy
8472/1	Synonym	Papillary mucinous tumor of low malignant potential
8474/0	Preferred	Seromucinous cystadenoma
8474/1	Preferred	Seromucinous borderline tumor
8474/1	Synonym	Seromucinous tumor, atypical proliferative
8474/3	Preferred	Seromucinous carcinoma
8480/0	Preferred	Mucinous adenoma
8480/0	Related	Mucous gland adenoma
8480/1	Preferred	Low grade appendiceal mucinous neoplasm
8480/3	Preferred	Mucinous adenocarcinoma (except of lung M-8253/3)
8480/3	Synonym	Acinar adenocarcinoma, mucinous variant
8480/3	Synonym	Colloid adenocarcinoma
8480/3	Synonym	Colloid carcinoma
8480/3	Synonym	Gelatinous adenocarcinoma
8480/3	Synonym	Gelatinous carcinoma
8480/3	Synonym	Mucinous carcinoma
8480/3	Synonym	Mucoid adenocarcinoma
8480/3	Synonym	Mucoid carcinoma
8480/3	Synonym	Mucous adenocarcinoma
8480/3	Synonym	Mucous carcinoma
8480/3	Related	Pseudomyxoma peritonei with unknown primary site
8480/3	Related	Mucinous tubular and spindle cell carcinoma
8480/6	Preferred	Pseudomyxoma peritonei
8481/3	Preferred	Mucin-producing adenocarcinoma
8481/3	Synonym	Mucin-producing carcinoma
8481/3	Synonym	Mucin-secreting adenocarcinoma
8481/3	Synonym	Mucin-secreting carcinoma
8482/3	Preferred	Mucinous carcinoma, gastric type
8482/3	Synonym	Mucinous adenocarcinoma, endocervical type
8490/3	Preferred	Signet ring cell carcinoma
8490/3	Synonym	Signet ring cell adenocarcinoma
8490/3	Synonym	Acinar adenocarcinoma, signet ring-like variant
8490/3	Synonym	Mucinous carcinoma, signet ring cell type
8490/3	Related	Poorly cohesive carcinoma
8490/3	Related	Signet ring cell/histiocytoid carcinoma
8490/6	Preferred	Metastatic signet ring cell carcinoma
8490/6	Related	Krukenberg tumor
850-854	2	Ductal and lobular neoplasms
8500/2	Preferred	Intraductal carcinoma, noninfiltrating, NOS
8500/2	Synonym	Intraductal adenocarcinoma, noninfiltrating, NOS
8500/2	Synonym	Intraductal carcinoma, NOS
8500/2	Related	Ductal carcinoma in situ, NOS
8500/2	Synonym	DCIS, NOS
8500/2	Synonym	DIN 3
8500/2	Synonym	Ductal intraepithelial neoplasia 3
8500/2	Related	Cystic hypersecretory carcinoma, intraductal
8500/3	Preferred	Infiltrating duct carcinoma, NOS
8500/3	Synonym	Invasive breast carcinoma of no special type
8500/3	Synonym	Duct adenocarcinoma, NOS
8500/3	Synonym	Duct carcinoma, NOS
8500/3	Synonym	Ductal carcinoma, NOS
8500/3	Synonym	Duct cell carcinoma
8500/3	Synonym	Infiltrating duct adenocarcinoma
8500/3	Related	Basal-like carcinoma of breast
8500/3	Related	Adenocarcinoma of mammary gland type
8500/3	Related	Adenocarcinoma of anogenital mammary-like glands
8500/3	Related	Carcinoma of male breast
8501/2	Preferred	Comedocarcinoma, noninfiltrating
8501/2	Synonym	Ductal carcinoma in situ, comedo type
8501/2	Synonym	DCIS, comedo type
8501/3	Preferred	Comedocarcinoma, NOS
8502/3	Preferred	Secretory carcinoma
8502/3	Related	Juvenile carcinoma of breast
8503/0	Preferred	Intraductal papilloma
8503/0	Synonym	Duct adenoma, NOS
8503/0	Synonym	Ductal papilloma
8503/0	Related	Intraductal papillary neoplasm, NOS
8503/0	Related	Intracystic papillary neoplasm with low grade intraepithelial neoplasia
8503/0	Synonym	Intracystic papillary neoplasm with intermediate grade intraepithelial neoplasia
8503/0	Synonym	Intraglandular papillary neoplasm with low grade intraepithelial neoplasia
8503/0	Synonym	Intraductal papillary neoplasm with intermediate grade neoplasia
8503/0	Related	Intraductal papillary neoplasm with low grade intraepithelial neoplasia
8503/0	Related	Intraductal tubular-papillary neoplasm, low grade
8503/0	Related	Intraductal papilloma with atypical ductal hyperplasia
8503/2	Preferred	Noninfiltrating intraductal papillary adenocarcinoma
8503/2	Synonym	Intraductal papillary adenocarcinoma, NOS
8503/2	Synonym	Intraductal papillary carcinoma, NOS
8503/2	Synonym	DCIS, papillary
8503/2	Synonym	Ductal carcinoma in situ, papillary
8503/2	Synonym	Noninfiltrating intraductal papillary carcinoma
8503/2	Related	Intraductal papilloma with DCIS
8503/2	Related	Intraductal papillary neoplasm with high grade intraepithelial neoplasia
8503/2	Synonym	Intracystic papillary neoplasm with high grade intraepithelial neoplasia
8503/2	Synonym	Intracystic papillary tumor with high grade dysplasia
8503/2	Synonym	Intracystic papillary tumor with high grade intraepithelial neoplasia
8503/2	Synonym	Intraductal papillary neoplasm with high grade dysplasia
8503/2	Synonym	Intraductal papillary tumor with high grade dysplasia
8503/2	Synonym	Intraductal papillary tumor with high grade intraepithelial neoplasia
8503/2	Related	Intraductal tubular-papillary neoplasm, high grade
8503/2	Related	Intraductal tubulopapillary neoplasm
8503/3	Preferred	Intraductal papillary adenocarcinoma with invasion
8503/3	Synonym	Infiltrating papillary adenocarcinoma
8503/3	Synonym	Infiltrating and papillary adenocarcinoma
8503/3	Related	Papillary carcinoma of breast
8503/3	Related	Intraductal papillary neoplasm with associated invasive carcinoma
8503/3	Synonym	Intracystic papillary neoplasm with associated invasive carcinoma
8504/0	Preferred	Intracystic papillary adenoma
8504/0	Synonym	Intracystic papilloma
8504/2	Preferred	Encapsulated papillary carcinoma (except of thyroid M-8343/3)
8504/2	Synonym	Noninfiltrating intracystic carcinoma
8504/2	Synonym	Encysted papillary carcinoma
8504/2	Synonym	Intracystic papillary carcinoma
8504/2	Synonym	Intracystic carcinoma, NOS
8504/2	Synonym	Intracystic papillary adenocarcinoma
8504/3	Preferred	Encapsulated papillary carcinoma with invasion
8504/3	Synonym	Encysted papillary carcinoma with invasion
8504/3	Synonym	Intracystic papillary carcinoma with invasion
8505/0	Preferred	Intraductal papillomatosis, NOS
8505/0	Synonym	Diffuse intraductal papillomatosis
8506/0	Preferred	Adenoma of nipple
8506/0	Synonym	Subareolar duct papillomatosis
8507/2	Preferred	Intraductal micropapillary carcinoma
8507/2	Synonym	Ductal carcinoma in situ, micropapillary
8507/2	Related	Intraductal carcinoma, clinging, high grade
8507/3	Preferred	Invasive micropapillary carcinoma of breast
8507/3	Synonym	Micropapillary carcinoma of breast
8508/3	Preferred	Cystic hypersecretory carcinoma
8509/2	Preferred	Solid papillary carcinoma in situ
8509/2	Related	Endocrine mucin-producing sweat gland carcinoma in situ
8509/3	Preferred	Solid papillary carcinoma with invasion
8509/3	Related	Endocrine mucin-producing sweat gland carcinoma
8510/3	Preferred	Medullary carcinoma, NOS
8510/3	Related	Medullary adenocarcinoma
8510/3	Related	Medullary-like carcinoma
8512/3	Preferred	Medullary carcinoma with lymphoid stroma
8513/3	Preferred	Atypical medullary carcinoma
8514/3	Preferred	Duct carcinoma, desmoplastic type
8519/2	Preferred	Lobular carcinoma in situ, pleomorphic
8519/2	Synonym	LCIS, pleomorphic
8520/2	Preferred	Lobular carcinoma in situ, NOS
8520/2	Synonym	LCIS, NOS
8520/2	Synonym	Lobular carcinoma, noninfiltrating
8520/2	Synonym	Lobular carcinoma in situ, classic
8520/2	Related	Intraductal papilloma with lobular carcinoma in situ
8520/3	Preferred	Lobular carcinoma, NOS
8520/3	Synonym	Infiltrating lobular carcinoma, NOS
8520/3	Synonym	Lobular adenocarcinoma
8520/3	Related	Tubulolobular carcinoma
8520/3	Related	Lobular carcinoma, pleomorphic
8521/3	Preferred	Infiltrating ductular carcinoma
8522/2	Preferred	Intraductal carcinoma and lobular carcinoma in situ
8522/3	Preferred	Infiltrating duct and lobular carcinoma
8522/3	Synonym	Lobular and ductal carcinoma
8522/3	Related	Intraductal and lobular carcinoma
8522/3	Related	Infiltrating duct and lobular carcinoma in situ
8522/3	Related	Infiltrating lobular carcinoma and ductal carcinoma in situ
8523/3	Preferred	Infiltrating duct mixed with other types of carcinoma
8523/3	Related	Infiltrating duct and colloid carcinoma
8523/3	Related	Infiltrating duct and cribriform carcinoma
8523/3	Related	Infiltrating duct and mucinous carcinoma
8523/3	Related	Infiltrating duct and tubular carcinoma
8524/3	Preferred	Infiltrating lobular mixed with other types of carcinoma
8525/3	Preferred	Polymorphous adenocarcinoma
8525/3	Synonym	Polymorphous carcinoma
8525/3	Synonym	Terminal duct adenocarcinoma
8530/3	Preferred	Inflammatory carcinoma
8530/3	Synonym	Inflammatory adenocarcinoma
8540/3	Preferred	Paget disease, mammary
8540/3	Synonym	Paget disease of breast
8540/3	Synonym	Paget disease of nipple
8541/3	Preferred	Paget disease and infiltrating duct carcinoma of breast
8542/3	Preferred	Paget disease, extramammary (except of bone: not neoplastic)
8543/3	Preferred	Paget disease and intraductal carcinoma of breast
855	2	Acinar cell neoplasms
8550/0	Preferred	Acinar cell adenoma
8550/0	Synonym	Acinar adenoma
8550/0	Synonym	Acinic cell adenoma
8550/1	Preferred	Acinar cell tumor
8550/1	Synonym	Acinic cell tumor
8550/3	Preferred	Acinar cell carcinoma
8550/3	Synonym	Acinar adenocarcinoma, NOS (except of lung M-8551/3 or prostate M-8140/3)
8550/3	Synonym	Acinar carcinoma
8550/3	Synonym	Acinic cell adenocarcinoma
8551/3	Preferred	Acinar cell cystadenocarcinoma
8551/3	Related	Acinar adenocarcinoma of lung
8552/3	Preferred	Mixed acinar-ductal carcinoma
856-857	2	Complex epithelial neoplasms
8560/0	Preferred	Mixed squamous cell and glandular papilloma
8560/0	Synonym	Tubulosquamous polyp
8560/3	Preferred	Adenosquamous carcinoma
8560/3	Synonym	Mixed adenocarcinoma and epidermoid carcinoma
8560/3	Synonym	Mixed adenocarcinoma and squamous cell carcinoma
8560/3	Related	Squamoid eccrine ductal carcinoma
8561/0	Preferred	Adenolymphoma
8561/0	Synonym	Papillary cystadenoma lymphomatosum
8561/0	Synonym	Warthin tumor
8562/3	Preferred	Epithelial-myoepithelial carcinoma
8563/0	Preferred	Lymphadenoma
8570/3	Preferred	Adenocarcinoma with squamous metaplasia
8570/3	Synonym	Adenoacanthoma
8570/3	Related	Endometrioid carcinoma with squamous differentiation
8571/3	Preferred	Adenocarcinoma with cartilaginous and osseous metaplasia
8571/3	Synonym	Adenocarcinoma with cartilaginous metaplasia
8571/3	Synonym	Adenocarcinoma with chondroid differentiation
8571/3	Synonym	Adenocarcinoma with osseous metaplasia
8572/3	Preferred	Adenocarcinoma with spindle cell metaplasia
8572/3	Synonym	Acinar adenocarcinoma, sarcomatoid variant
8572/3	Related	Fibromatosis-like metaplastic carcinoma
8573/3	Preferred	Adenocarcinoma with apocrine metaplasia
8573/3	Synonym	Carcinoma with apocrine metaplasia
8574/3	Preferred	Adenocarcinoma with neuroendocrine differentiation
